ISO3,Year,predicted_probability
FRA,2017,0.022591369352588524
FRA,2018,0.022514145637227492
GAB,1996,0.026402099076981003
GAB,1998,0.023447817386579584
GAB,2000,0.022464240265750977
GAB,2002,0.02048642486678448
GAB,2003,0.02043257718474802
GAB,2004,0.023025139426537587
GAB,2005,0.025533454797477605
GAB,2006,0.02233637199367966
GAB,2007,0.02745923263160231
GAB,2008,0.41888237303738834
GAB,2009,0.030915027577506842
GAB,2010,0.04009637556703959
GAB,2011,0.02322626783550209
GAB,2012,0.023363690374313
GAB,2013,0.021498163765172107
GAB,2014,0.023831558917993902
GAB,2015,0.022218084830725682
GAB,2016,0.02525250106202227
GAB,2017,0.025114695198966395
GAB,2018,0.02123746890973822
GBR,1996,0.021542733215274945
GBR,1998,0.025894535349324965
GBR,2000,0.020877288935675687
GBR,2002,0.020784592996407277
GBR,2003,0.02066231937179381
GBR,2004,0.021071252647613604
GBR,2005,0.020778235143980837
GBR,2006,0.020778235143980837
GBR,2007,0.021761614781285032
GBR,2008,0.021628618370173436
GBR,2009,0.021768823823233863
GBR,2010,0.020853264352490283
GBR,2011,0.020971458906494364
GBR,2012,0.020454463557410006
GBR,2013,0.02041062419806243
GBR,2014,0.021151326350276386
GBR,2015,0.02025262073477774
GBR,2016,0.022101663024362766
GBR,2017,0.02032408545501719
GBR,2018,0.0203542022285827
GEO,1996,0.08731631140918909
GEO,1998,0.024123467691805775
GEO,2000,0.022265905555600585
GEO,2002,0.030162771466200503
GEO,2003,0.23239270734495224
GEO,2004,0.027367674188186867
GEO,2005,0.030107135375694715
GEO,2006,0.025491821307973783
GEO,2007,0.02818853301172695
GEO,2008,0.05315618701082624
GEO,2009,0.02784955572106027
GEO,2010,0.024754190659258758
GEO,2011,0.022520719384712683
GEO,2012,0.02348899801682364
GEO,2013,0.0249539781992363
GEO,2014,0.02158249203445749
GEO,2015,0.02025262073477774
GEO,2016,0.020592069512890724
GEO,2017,0.02194291557523396
GEO,2018,0.022439991617676337
GHA,1996,0.025743696888824604
GHA,1998,0.02810885423784994
GHA,2000,0.2568538758296514
GHA,2002,0.0307022233327184
GHA,2003,0.033740641859411044
GHA,2004,0.025862543041367037
GHA,2005,0.02673661951195695
GHA,2006,0.026739360783387022
GHA,2007,0.023037293497277362
GHA,2008,0.023441959976346533
GHA,2009,0.02258630760861192
GHA,2010,0.023088046555736774
GHA,2011,0.024979116042047732
GHA,2012,0.023669115066828852
GHA,2013,0.03404314714278012
GHA,2014,0.028996593792332475
GHA,2015,0.022205001874181354
GHA,2016,0.02356949637147385
GHA,2017,0.022736110446954113
GHA,2018,0.021919771968136385
GIN,1996,0.021360579793171658
GIN,1998,0.021844326601984144
GIN,2000,0.02240066068068051
GIN,2002,0.020592069512890724
GIN,2003,0.021984509999465624
GIN,2004,0.021531314954471165
GIN,2005,0.02242884368418484
GIN,2006,0.02216899265258473
GIN,2007,0.02260363485765265
GIN,2008,0.022285239038540475
GIN,2009,0.32220112909458276
GIN,2010,0.021674851564461885
GIN,2011,0.02159188681701334
GIN,2012,0.4250834457130083
GIN,2013,0.025329261806396997
GIN,2014,0.026536712851617267
GIN,2015,0.024008648124388687
GIN,2016,0.025809030679331144
GIN,2017,0.024045822011639083
GIN,2018,0.023602336348378963
GMB,1996,0.025078399717304578
GMB,1998,0.028709291696813282
GMB,2000,0.02446484759446467
GMB,2002,0.04224369133150609
GMB,2003,0.028328819016230564
GMB,2004,0.037147332325090016
GMB,2005,0.028447079338450598
GMB,2006,0.021845586346168983
GMB,2007,0.02548895609399757
GMB,2008,0.023902254219039163
GMB,2009,0.022929608570026364
GMB,2010,0.022520461320756816
GMB,2011,0.02936116693048579
GMB,2012,0.022647872835032504
GMB,2013,0.02205130877442805
GMB,2014,0.028264135040571518
GMB,2015,0.03262066792121176
GMB,2016,0.3843041926205761
GMB,2017,0.03163252352946159
GMB,2018,0.022996651299329002
GNB,1996,0.18887644229522607
GNB,2000,0.19600590984958133
GNB,2002,0.33384378496346884
GNB,2003,0.17183343022716444
GNB,2004,0.32024617909075864
GNB,2005,0.035516451872454446
GNB,2006,0.06368213911705983
GNB,2007,0.03642873406473427
GNB,2008,0.0345091670871368
GNB,2009,0.06666863225347192
GNB,2010,0.03187983386201452
GNB,2011,0.0333575094579212
GNB,2012,0.05467495585268906
GNB,2013,0.289958417941203
GNB,2014,0.028177498154113478
GNB,2015,0.02878198678733433
GNB,2016,0.027254239359629822
GNB,2017,0.029511279148551308
GNB,2018,0.03023223746527152
GNQ,1996,0.04316866231867748
GNQ,1998,0.07169755888678989
GNQ,2000,0.028016379626806514
GNQ,2002,0.030711307032551854
GNQ,2003,0.03037597688877024
GNQ,2004,0.029062118228630706
GNQ,2005,0.02542041732706393
GNQ,2006,0.023630262684070202
GNQ,2007,0.025288777051661177
GNQ,2008,0.034889876081554944
GNQ,2009,0.026527730132414648
GNQ,2010,0.02610626785313643
GNQ,2011,0.02101984447881761
GNQ,2012,0.023301966467480822
GNQ,2013,0.022418391991192693
GNQ,2014,0.024029724369157887
GNQ,2015,0.03009272387687541
GNQ,2016,0.030672714077265992
GNQ,2017,0.03767857201805335
GNQ,2018,0.025313158228645747
GRC,1996,0.022074159057611408
GRC,1998,0.02232680347258192
GRC,2000,0.022411377252409614
GRC,2002,0.020982334276657046
GRC,2003,0.021146584109941056
GRC,2004,0.02202218253876918
GRC,2005,0.02025262073477774
GRC,2006,0.0210807410187145
GRC,2007,0.02104135365455453
GRC,2008,0.02025262073477774
GRC,2009,0.02025262073477774
GRC,2010,0.02121336899744324
GRC,2011,0.022576265093605608
GRC,2012,0.02195997867549269
GRC,2013,0.02040774153264937
GRC,2014,0.020329809089456728
GRC,2015,0.020819450550362804
GRC,2016,0.020329809089456728
GRC,2017,0.02059401811579378
GRC,2018,0.020468369947315632
GTM,1996,0.02130674079491958
GTM,1998,0.02048605174954264
GTM,2000,0.02225529443250164
GTM,2002,0.021450499908895696
GTM,2003,0.020681345640691438
GTM,2004,0.02169228897566877
GTM,2005,0.02084235315308484
GTM,2006,0.02133498862424005
GTM,2007,0.020456318648619107
GTM,2008,0.020619829909506417
GTM,2009,0.02103317892037893
GTM,2010,0.021035850287068364
GTM,2011,0.0222382685123643
GTM,2012,0.02040774153264937
GTM,2013,0.02025262073477774
GTM,2014,0.020561090013470115
GTM,2015,0.020561090013470115
GTM,2016,0.02086245408877101
GTM,2017,0.021127744343158988
GTM,2018,0.02033897798169721
GUY,1996,0.029291118471594577
GUY,1998,0.02521635797021804
GUY,2000,0.02331918643546843
GUY,2002,0.02400352420342623
GUY,2003,0.023802665664632263
GUY,2004,0.02377405801928638
GUY,2005,0.02397062829089035
GUY,2006,0.023764731397292987
GUY,2007,0.02424744081902286
GUY,2008,0.023512323141522472
GUY,2009,0.021427052349320685
GUY,2010,0.021833044382235784
GUY,2011,0.02163169708965941
GUY,2012,0.023882695093906964
GUY,2013,0.023079844813083113
GUY,2014,0.02541522145094255
GUY,2015,0.0237479139530235
GUY,2016,0.023473969910923976
GUY,2017,0.0215492175009469
GUY,2018,0.025279365678336444
HND,1996,0.02660013605343879
HND,1998,0.022021523431710596
